name,short_name,code,JPN_expression,Elector_2016,D_Primary,D_Time,R_Primary,R_Time,2012_Obama_D,2012_Romney_R,2012_Dwin,2012_Rwin,2008_Obama _D,2012_Mcain_R,2008_Dwin,2008_Rwin,2004_Kerry_D,2004_Bush_R,2004_Dwin,2004_Rwin,2000_Gore_D,2000_Bush_R,2000_Dwin,2000_Rwin,1996_Clinton_D,1996_Dole_R,1996_Dwin,1996_Rwin,1992_Clinton_D,1992_Bush_R,1992_Dwin,1992_Rwin,Total_Dwin,Total_Rwin,,,,,,,,,
Alabama,AL,01,アラバマ,9,Clinton,2016/3/1,Trump,2016/3/1,,9,0,1,,9,0,1,,9,0,1,,9,0,1,,9,0,1,,9,0,1,0,6,,,,,,,,,
Alaska,AK,02,アラスカ,3,Sanders,2016/3/26,Cruz,2016/3/1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,,3,0,1,0,6,,,,,,,,,
Arizona,AZ,04,アリゾナ,11,Clinton,2016/3/22,Trump,2016/3/22,,11,0,1,,10,0,1,,10,0,1,,8,0,1,8,,1,0,,8,0,1,1,5,,,,,,,,,
Arkansas,AR,05,アーカンソー,6,Clinton,2016/3/1,Trump,2016/3/1,,6,0,1,,6,0,1,,6,0,1,,6,0,1,6,,1,0,6,,1,0,2,4,,,,,,,,,
California,CA,06,カリフォルニア,55,Clinton,2016/6/7,Trump,2016/6/7,55,,1,0,55,,1,0,55,,1,0,54,,1,0,54,,1,0,54,,1,0,6,0,,,,,,,,,
Colorado,CO,08,コロラド,9,Sanders,2016/3/1,Cruz,2016/3/1,9,,1,0,9,,1,0,,9,0,1,,8,0,1,,8,0,1,8,,1,0,3,3,,,,,,,,,
Connecticut,CT,09,コネティカット,7,Clinton,2016/4/26,Trump,2016/4/26,7,,1,0,7,,1,0,7,,1,0,8,,1,0,8,,1,0,8,,1,0,6,0,,,,,,,,,
Delaware,DE,10,デラウェア,3,Clinton,2016/4/26,Trump,2016/4/26,3,0,1,0,3,,1,0,3,,1,0,3,,1,0,3,,1,0,3,,1,0,6,0,,,,,,,,,
District of Columbia,DC,11,ワシントンD.C.,3,Clinton,2016/6/14,Rubio,2016/3/12,3,,1,0,3,,1,0,3,,1,0,2,,1,0,3,,1,0,3,,1,0,6,0,,,,,,,,,
Florida,FL,12,フロリダ,29,Clinton,2016/3/15,Trump,2016/3/15,29,,1,0,27,,1,0,,27,0,1,,25,0,1,25,,1,0,,25,0,1,3,3,,,,,,,,,
Georgia,GA,13,ジョージア,16,Clinton,2016/3/1,Trump,,,16,0,1,,15,0,1,,15,0,1,,13,0,1,,13,0,1,13,,1,0,1,5,,,,,,,,,
Hawaii,HI,15,ハワイ,4,Sanders,2016/3/26,Trump,2016/3/8,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,6,0,,,,,,,,,
Idaho,ID,16,アイダホ,4,Sanders,2016/3/22,Cruz,2016/3/8,,4,0,1,,4,0,1,,4,0,1,,4,0,1,,4,0,1,,4,0,1,0,6,,,,,,,,,
Illinois,IL,17,イリノイ,20,Clinton,2016/3/15,Trump,2016/3/15,20,,1,0,21,,1,0,21,,1,0,22,,1,0,22,,1,0,22,,1,0,6,0,,,,,,,,,
Indiana,IN,18,インディアナ,11,Sanders,2016/5/3,Trump,2016/5/3,,11,0,1,11,,1,0,,11,0,1,,12,0,1,,12,0,1,,12,0,1,1,5,,,,,,,,,
Iowa,IA,19,アイオワ,6,Clinton,2016/2/1,Cruz,2016/2/1,6,,1,0,7,,1,0,,7,0,1,7,,1,0,7,,1,0,7,,1,0,5,1,,,,,,,,,
Kansas,KS,20,カンサス,6,Sanders,2016/3/5,Cruz,2016/3/5,,6,0,1,,6,0,1,,6,0,1,,6,0,1,,6,0,1,,6,0,1,0,6,,,,,,,,,
Kentucky,KY,21,ケンタッキー,8,Clinton,2016/5/17,Trump,2016/3/5,,8,0,1,,8,0,1,,8,0,1,,8,0,1,8,,1,0,8,,1,0,2,4,,,,,,,,,
Louisiana,LA,22,ルイジアナ,8,Clinton,2016/3/5,Trump,2016/3/5,,8,0,1,,9,0,1,,9,0,1,,9,0,1,9,,1,0,9,,1,0,2,4,,,,,,,,,
Maine,ME,23,メーン,4,Sanders,2016/3/6,Cruz,2016/3/5,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,4,,1,0,6,0,,,,,,,,,
Maryland,MD,24,メリーランド,10,Clinton,2016/4/26,Trump,2016/4/26,10,,1,0,10,,1,0,10,,1,0,10,,1,0,10,,1,0,10,,1,0,6,0,,,,,,,,,
Massachusetts,MA,25,マサチューセッツ,11,Clinton,2016/3/1,Trump,2016/3/1,11,,1,0,12,,1,0,12,,1,0,12,,1,0,12,,1,0,12,,1,0,6,0,,,,,,,,,
Michigan,MI,26,ミシガン,16,Sanders,2016/3/8,Trump,2016/3/8,16,,1,0,17,,1,0,17,,1,0,18,,1,0,18,,1,0,18,,1,0,6,0,,,,,,,,,
